"Id","Designator","Package","Quantity","Designation","Supplier and ref",
1,"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**","breakaway-hole-big",14,"breakaway-hole-big",,,
2,"SW_B1,SW_B6,SW_F3,SW_C8,SW_F1,SW_A3,SW_D9,SW_D7,SW_B7,SW_A4,SW_B5,SW_C6,SW_B8,SW_B2,SW_A8,SW_C7,SW_D8,SW_F9,SW_F8,SW_F6,SW_D6,SW_A6,SW_D5,SW_E2,SW_E1,SW_A5,SW_C5,SW_C1,SW_F7,SW_D1,SW_F4,SW_A2,SW_D2,SW_A7,SW_A9,SW_B4,SW_C4,SW_F5,SW_A1,SW_C2","MX-Hotswap-1u",40,"SW_Push",,,
3,"SW_Enc1","RotaryEncoder_EC11",1,"Rotary_Encoder_Switch",,,
4,"SW_D3","MX-Hotswap-2.25u",1,"SW_Push",,,
5,"SW_E5,SW_E4,SW_E6,SW_E3","MX-Hotswap-1.25u",4,"SW_Push",,,
6,"SW_C3","MX-Hotswap-1.75u",1,"SW_Push",,,
7,"H1,H2","Keebio-small",2,"MountingHole",,,
8,"SW_B3","MX-Hotswap-1.5u",1,"SW_Push",,,
9,"SW_E8","MX-Hotswap-2.25u-ReversedStabilizers",1,"SW_Push",,,
10,"R1,R3","R_0402",2,"27Ω",,,
11,"C4,C3,CR3,C7,C1,C12,CR7,CR6,C8,C6,C2,C9,CR2,CR5,CR1,CR8,C5,CR4","C_0402",18,"100n",,,
12,"DRU5,DRU7,DRU2,DRU6,DRU4,DRU8,DRU1,DRU3","WS2812B",8,"WS2812B",,,
13,"D26,D23,D22,D37,D7,D45,D35,D12,D9,D10,D38,D18,D39,D20,D19,D48,D31,D1,D24,D34,D3,D8,D28,D17,D47,D44,D21,D6,D15,D46,D43,D25,D42,D32,D30,D11,D5,D2,D4,D33,D16,D13,D41,D40,D14,D27,D29,D36","D_SOD123F",48,"D",,,
14,"DR18,DR27,DR36,DR8,DR43,DR21,DR15,DR39,DR24,DR23,DR1,DR48,DR2,DR45,DR33,DR37,DR46,DR3,DR10,DR14,DR44,DR31,DR12,DR17,DR38,DR6,DR40,DR16,DR9,DR11,DR5,DR26,DR25,DR35,DR22,DR30,DR41,DR28,DR29,DR32,DR47,DR20,DR4,DR19,DR13,DR34,DR7,DR42","SK6812-MINI-E",48,"WS2812B",,,
15,"C14,C13","C_0402",2,"27pF",,,
16,"R5,R6","R_0402",2,"1kΩ",,,
17,"R4","R_0402",1,"DNF",,,
18,"F1","R_0805",1,"500mA",,,
19,"RU2,RU1","R_0603",2,"5.1kΩ",,,
20,"U2","RP2040-QFN-56",1,"RP2040",,,
21,"Y1","Crystal_SMD_3225-4pin_3.2x2.5mm",1,"12MHz",,,
22,"SW_BOOT1,SW_RST1","SW_SPST_TL3342",2,"SW_Push",,,
23,"USB2,USB1","HRO-TYPE-C-31-M-12-Assembly",2,"HRO-TYPE-C-31-M-12",,,
24,"C10,C11","C_0402",2,"1u",,,
25,"R2","R_0402",1,"10kΩ",,,
26,"U5","Texas_S-PVQFN-N14",1,"TXS0104ERGY",,,
27,"CL2,CL1","C_0603",2,"1uF",,,
28,"R_I1,R_I2","R_0603",2,"1.8k",,,
29,"U3","SOIC-8_5.23mm-USON-8_2x3mm",1,"W25Q128JVS",,,
30,"R7","R_0603",1,"10kΩ",,,
31,"D55","SOT-143B",1,"PRTR5V0U2X",,,
32,"U4","I2C_Breakout",1,"OLED-I2C",,,
33,"U1","SOT-23",1,"MCP1700-3302E_SOT23",,,
